Date - Order Date,Order - Number,Item - SKU,Item - Qty,Item - Name,Amount - Order Total,Amount - Order Tax,Carrier - Service Requested,Date - Ship By Date,
03-08-2026 08:44,114-4144770-9277045,STB - 131125 - B014HKHE5M - UKUS - 3,1,Hartley's Strawberry Jelly - 135g - Pack of 6 (135g x 6),31.77,0,FreeEconomy Econ US Dom,03-11-2026 17:00,31.77
03-08-2026 08:24,114-4973255-9863428,STB - 091225 - B000J6BHP2 - UKUS - X,1,Tetley - Original Tea Bags 240 - 750g,24.87,0,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,24.87
03-08-2026 08:09,112-0039980-1877028,STB - 131125 - B000AYGYA6 - UKUS - 3,1,"Carr's Table Water Crackers, Baked Snack Crackers, Party Snacks, Original, 4.25oz Box (1 Box)",31.66,0,FreeEconomy Econ US Dom,03-11-2026 17:00,31.66
03-08-2026 08:13,114-4007117-7215400,STB - 131125 - B06XRDXCP1 - UKUS - 5,1,10 Bars x 200g of Marabou Mjolkchoklad - Original - Swedish - Milk Chocolate,107.79,7.05,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,100.74
03-08-2026 07:20,112-3887640-6407461,STB - 070126 - B07BC5PZ7K - UKUS - X,1,Bourjois Le Petit Strober Highlighter,30.42,2.12,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,28.3
03-08-2026 07:48,112-0870081-9327464,STB - 041125 - B00Z10WBVA - UK-US - 3,1,"Walkers Nonsuch Licorice Toffees, 5.3 oz., Five bags",31.78,0,FreeEconomy Econ US Dom,03-11-2026 17:00,31.78
03-08-2026 08:07,112-3424959-3043431,STB - 040126 - B08WK694W6 - UKUS - X,1,"Grangers Down Care Kit with Wash + Repel for Down 2 In 1 (10 oz) and 3 Reusable Dry Balls To Restore Down Loft""",34.15,0,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,34.15
03-08-2026 07:26,114-0780770-3270650,STB - 100226 - B01LFQYOYK - UKUS - 3,1,Aunt May's Hot Bajan Pepper Sauce 12 Oz (Pack of 3),50.45,1.47,FreeEconomy Econ US Dom,03-11-2026 17:00,48.98
03-08-2026 08:50,200014510453800,WTB - 000000 - 00070177178529 - UKUS - 1,1,"Twinings Superblends Glow 40G, Imported from Britain",24.39,0,Value,03-11-2026 20:00,24.39
03-08-2026 08:48,200014344362238,WTB - 000000 - 07622202274350 - UKUS - 1,1,"Cadbury Orange Mini Eggs 74g, Imported from Britain",25.1,1.06,Value,03-11-2026 20:00,24.04
03-08-2026 08:51,200014762999745,WTB - 000000 - 07622202345081 - UKUS - 1,1,"Cadbury White Creme Egg 5x40g, Imported from Britain",26.22,0,Value,03-11-2026 20:00,26.22
03-08-2026 09:14,200014389096958,WTB - 000000 - 05000354920127 - UKUS - 1,1,"Batchelors Slim A Soup Creamy Vegetables 51G, Imported from Britain",73.18,0,Value,03-11-2026 20:00,73.18
03-08-2026 09:14,200014389096958,WTB - 000000 - 05000175409054 - UKUS - 1,1,"Batchelors Cup A Soup Chicken & Vegetable Croutons 4 Pack 110G, Imported from Britain",73.18,0,Value,03-11-2026 20:00,73.18
03-08-2026 09:14,200014389096958,WTB - 000000 - 05000175409023 - UKUS - 1,1,"Batchelors Cup A Soup Chicken Noodle 4 Pack 94G, Imported from Britain",73.18,0,Value,03-11-2026 20:00,73.18
03-08-2026 09:28,200014307698726,WTB - 000000 - 00031200452016 - UKUS - 1,1,"Ocean Spray Cranberry & Raspberry Juice Drink 1 Litre, Imported from Britain",28.97,1.7,Value,03-11-2026 20:00,27.27
03-08-2026 09:24,200014311328000,WTB - 000000 - 05000175411194 - UKUS - 1,1,"Oxo Beef Stock Cubes 24 Pack 142g, Imported from Britain",27.52,0.54,Value,03-09-2026 20:00,26.98
03-08-2026 09:43,200014550711676,WTB - 000000 - 08000300412413 - UKUS - 1,1,"After Eight Dark Mint Chocolate Mini Eggs 81G, Imported from Britain",23.51,0,Value,03-11-2026 20:00,23.51
03-08-2026 09:22,026-3326402-1313122,STB - 300126 - B017IWLGBY - UKUK - X,1,Giuseppe Cocco Pasta Penne Rigate 500g - Pack of 2,24.98,0,Standard Std UK Dom_1,03-10-2026 17:00,24.98
03-08-2026 10:19,113-4746261-2803455,STB - 091225 - B000J6BHP2 - UKUS - X,1,Tetley - Original Tea Bags 240 - 750g,24.87,0,FreeEconomy Econ US Dom,3/13/2026 5:00:00 PM,24.87
03-08-2026 10:12,111-8972241-2094665,STB - 100226 - B0753N6VGW - UKUS - 3,1,Weetabix - Crispy Minis - Chocolate Chip - 600g (Case of 10),102.99,0,FreeEconomy Econ US Dom,03-11-2026 17:00,102.99
03-08-2026 09:55,113-0769765-1497015,STB - 271025 - B00Y301ZZW - UKUS - 3,1,Knorr Stock Pot Chicken (8x28g) - Pack of 2,23.88,0,FreeEconomy Econ US Dom,03-11-2026 17:00,23.88
03-08-2026 10:25,111-9486634-2543433,STB - 131125 - B07GX139X3 - UKUS - 3,1,McVitie's Digestives Milk Chocolate the Caramel One 250g (Pack of 3),26.41,0,FreeEconomy Econ US Dom,03-11-2026 17:00,26.41
03-08-2026 10:04,112-4501441-1672242,STB - 271025 - B07574TZ7N - UKUS - 3,5,Ecover Bottle Plastic X1 750Ml Fabric Softener,118.65,8.55,FreeEconomy Econ US Dom,03-11-2026 17:00,110.1
03-08-2026 09:59,114-9746219-9527448,STB - 070126 - B0DWXRXFP5 - UKUS - X,1,Liverpool Football Club Shield Necklace,28.69,1.62,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,27.07
03-08-2026 09:28,114-6877301-8169800,STB - 271025 - B017IQO5YA - UKUS - 3,1,Patak's Raita Mint & Cucumber 270g - Pack of 2,38.34,0,FreeEconomy Econ US Dom,03-11-2026 17:00,38.34
03-08-2026 09:32,112-0839750-5434661,STB - 040126 - B00CDLBQK2 - UKUS - X,1,"Alteya Organics Chamomile Water USDA Certified Organic Facial Toner, 3.4 Fl Oz/100mL Pure Bulgarian Anthemis Nobilis (Chamomile) Flower Water, Award-Winning Moisturizer BPA-Free Spray Bottle",33.46,2.19,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,31.27
03-08-2026 10:13,111-8432113-3045010,STB - 100226 - B00F9TGLQE - UKUS - 7,1,Marabou Mjolkchoklad - Milk Chocolate 200g,30.13,0,FreeEconomy Econ US Dom,3/17/2026 5:00:00 PM,30.13
03-08-2026 09:01,112-3522603-5129051,STB - 271025 - B01N0F6TM5 - UKUS - 3,1,L'Or Espresso Café Ristretto - Intensité 11 - 50 Capsules en Aluminium Compatibles avec les Machines Nespresso (Lot de 5X10 capsules),47.22,3.35,FreeEconomy Econ US Dom,03-11-2026 17:00,43.87
03-08-2026 09:58,114-0838169-7539421,STB - 060126 - B001CM3EIU - UKUS - X,1,"Restoria Grey Reducing Cream for Men - Hair Cream for Restoring Natural Hair Colour Gradually, Up to 100% Grey Coverage - Vegan, 100ml",34.48,2.14,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,32.34
03-08-2026 10:00,113-2971182-3159435,STB - 271025 - B00XYANR3A - UKUS - 3,1,Jordans Country Crisp with Chunky Nuts (500g) - Pack of 2,30.64,0,FreeEconomy Econ US Dom,03-11-2026 17:00,30.64
03-08-2026 09:13,113-9093809-9018633,STB - 040126 - B0DWSQ84W3 - UKUS - X,1,"Paladone Mickey Mouse Love E27 Decorative LED Light Bulb - Add to Any Edison Compatible Lamp, Officially Licensed Disney Collectible Gift for Bedrooms and Homes",64.09,5.56,FreeEconomy Econ US Dom,3/20/2026 5:00:00 PM,58.53
